model,strategy,seed,trainable_params,total_params,best_val_acc,test_acc,test_macro_f1,epochs_ran,train_minutes,timestamp

bert,frozen,42,324941,109807181,0.6363636363636364,0.6415584415584416,0.6383558672242735,80,0.76,2026-08-18T11:05:28.893193
bert,frozen,43,324941,109807181,0.6373626373626373,0.6295454545454545,0.6256319032105403,63,0.62,2026-08-18T11:15:23.823531
bert,frozen,44,324941,109807181,0.6293706293706294,0.6376623376623377,0.6320744956205031,64,0.63,2026-08-18T11:20:45.660636

gpt2,frozen,42,324941,124764749,0.8341658341658341,0.8353896103896103,0.8353891267985789,38,0.4,2026-08-18T11:07:29.348201
gpt2,frozen,43,324941,124764749,0.8311688311688312,0.8412337662337662,0.8415993037323192,31,0.31,2026-08-18T11:18:56.702112
gpt2,frozen,44,324941,124764749,0.8421578421578422,0.837012987012987,0.8366544518236336,45,0.41,2026-08-18T11:22:25.269780


bert,lora,42,619853,110427034,0.9210789210789211,0.9204545454545454,0.9203928112375276,26,33.33,2026-08-18T11:59:36.531743
bert,lora,43,619853,110427034,0.922077922077922,0.922077922077922,0.921985011183678,32,34.44,2026-08-18T12:14:09.704083
bert,lora,44,619853,110427034,0.916083916083916,0.9207792207792208,0.9210675004069216,21,24.2,2026-08-18T12:03:50.532326

gpt2,lora,42,619853,125384602,0.9080919080919081,0.9071428571428571,0.9074189601148289,20,29.94,2026-08-18T12:31:35.956444
gpt2,lora,43,619853,125384602,0.916083916083916,0.9081168831168831,0.9082185824059209,21,26.89,2026-08-18T12:44:47.899339
gpt2,lora,44,619853,125384602,0.9200799200799201,0.9149350649350649,0.9150626132377262,24,31.76,2026-08-18T12:43:24.084194


bert,full,42,109807181,109807181,0.9240759240759241,0.9282467532467532,0.9282973000447252,13,23.39,2026-08-18T12:58:44.742423
bert,full,43,109807181,109807181,0.9210789210789211,0.9256493506493506,0.9256198908862123,12,18.83,2026-08-18T13:04:32.665109
bert,full,44,109807181,109807181,0.926073926073926,0.9243506493506494,0.9243133146675971,10,16.3,2026-08-18T13:01:29.571631

gpt2,full,42,124764749,124764749,0.9050949050949051,0.9071428571428571,0.9069520710741067,12,24.65,2026-08-18T13:24:16.322962
gpt2,full,43,124764749,124764749,0.9140859140859141,0.9142857142857143,0.9143224847426271,20,35.65,2026-08-18T13:41:04.344634
gpt2,full,44,124764749,124764749,0.9140859140859141,0.9142857142857143,0.9143224847426271,20,37.0,2026-08-18T13:39:00.538314
